Quantity,Name,Sets,Conditions,Languages,Finishes,Paused,Tags,Limit,Offer,Scryfall ID,Cardsphere ID,Reason
99,Tormod's Crypt,DMR,NM,EN,F,P,,2.09,200,a23814c0-f9da-49c4-bfff-69786a5d651b,98475,pauper relevant
99,Tormod's Crypt,DMR,NM,EN,N,P,,0.56,200,a23814c0-f9da-49c4-bfff-69786a5d651b,98341,pauper relevant
99,Simian Spirit Guide,PLC,NM,EN,F,P,,48.59,200,5d7f701c-dcdc-4067-8d00-b4b7aadee9ba,35407,pauper relevant
99,Simian Spirit Guide,PLC,NM,EN,N,P,,1.67,200,5d7f701c-dcdc-4067-8d00-b4b7aadee9ba,35408,pauper relevant
99,Wall of Roots,F08,NM,EN,F,P,,2.55,200,000619be-f2b4-407d-a76c-7245d8cab7bd,17499,pauper relevant
99,Glistener Elf,NPH,NM,EN,F,P,,1.68,200,8b94f4c6-b518-43b3-be52-e889d1f3ea38,33107,pauper relevant
99,Glistener Elf,NPH,NM,EN,N,P,,0.61,200,8b94f4c6-b518-43b3-be52-e889d1f3ea38,33108,pauper relevant
99,Preordain,SLD,NM,EN,N,P,,4.21,200,d382c608-b3db-4112-b0c3-0e12199c4898,80492,pauper relevant
99,Brainstorm,AFC,NM,EN,N,P,,1.12,200,48070245-1370-4cf1-be15-d4e8a8b92ba8,80073,pauper relevant
99,Spellstutter Sprite,LRW,NM,EN,F,P,,15.33,200,4e5ba4a9-a282-4d4b-b25a-179e05e458f4,25604,pauper relevant
99,Spellstutter Sprite,LRW,NM,EN,N,P,,2.57,200,4e5ba4a9-a282-4d4b-b25a-179e05e458f4,25605,pauper relevant
99,Barren Moor,ONS,NM,EN,F,P,,8.57,200,45be3811-a223-4c45-9b24-0317f2d53c60,34495,pauper relevant
99,Okiba-Gang Shinobi,BOK,NM,EN,F,P,,7.67,200,5cd9297e-301e-4e70-af9b-3218eacacf8d,7219,pauper relevant
99,Okiba-Gang Shinobi,BOK,NM,EN,N,P,,0.97,200,5cd9297e-301e-4e70-af9b-3218eacacf8d,7220,pauper relevant
99,Defile,MH1,NM,EN,F,P,,1.36,200,5bcb4398-edd1-41a7-a496-b12bce22ceb6,59873,pauper relevant
99,Defile,MH1,NM,EN,N,P,,0.71,200,5bcb4398-edd1-41a7-a496-b12bce22ceb6,59872,pauper relevant
99,Archaeomancer,M14,NM,EN,F,P,,2.52,200,32d0ae8f-3d46-4692-a23c-c461f8aa6a58,27777,pauper relevant
99,Ichorclaw Myr,SOM,NM,EN,F,P,,5.67,200,faef8b8b-2c45-4fed-b6ba-a8ac49c66330,40406,pauper relevant
99,Bender's Waterskin,TLA,NM,EN,F,P,,2.60,200,6d4a1712-d19e-4475-9614-a0b1af4da610,142569,pauper relevant
99,Counterspell,TMP,NM,EN,N,P,,1.49,200,dacdd380-71cf-4832-bd02-3697501325f3,43121,pauper relevant
99,Lightning Axe,INR,NM,EN,F,P,,1.03,200,d2e9d9e1-8b4e-4e72-aa3a-05b81cce6c6c,132139,pauper relevant
99,Seat of the Synod,SLD,NM,EN,F,P,,23.11,200,ea58393a-7d69-4f99-90b7-ef6f31e4c80b,86056,pauper relevant
99,Seat of the Synod,SLD,NM,EN,N,P,,13.77,200,ea58393a-7d69-4f99-90b7-ef6f31e4c80b,86057,pauper relevant
99,Muddle the Mixture,RAV,NM,EN,F,P,,5.93,200,4cc785b0-0a77-4b02-b0b4-2bda2fc621cc,38209,pauper relevant
99,Muddle the Mixture,RAV,NM,EN,N,P,,1.05,200,4cc785b0-0a77-4b02-b0b4-2bda2fc621cc,38210,pauper relevant
99,Guttersnipe,RVR,NM,EN,F,P,,2.73,200,937e6fd7-ff20-46cd-8107-1f5339267a6f,114778,pauper relevant
99,Guttersnipe,RVR,NM,EN,N,P,,0.56,200,937e6fd7-ff20-46cd-8107-1f5339267a6f,114750,pauper relevant
99,Snow-Covered Plains,CSP,NM,EN,F,P,,2.69,200,b1e3a010-dae3-41b6-8dd8-e31d14c3ac4a,8766,pauper relevant
99,Snow-Covered Plains,CSP,NM,EN,N,P,,0.93,200,b1e3a010-dae3-41b6-8dd8-e31d14c3ac4a,8767,pauper relevant
99,Gnaw to the Bone,ISD,NM,EN,F,P,,3.22,200,416148c8-13d3-46d3-ac93-6eb7cbab2881,20570,pauper relevant
99,Urza's Power Plant,ATQ,NM,EN,N,P,,10.71,200,e237d921-6d84-402e-b5e3-6bbdb3028f57,5100,pauper relevant
99,Guardians' Pledge,M12,NM,EN,F,P,,5.18,200,e7e6105c-8633-46f7-a7ca-2a5c36c6d548,26973,pauper relevant
99,Guardians' Pledge,M12,NM,EN,N,P,,0.55,200,e7e6105c-8633-46f7-a7ca-2a5c36c6d548,26974,pauper relevant
99,Mutagenic Growth,MM2,NM,EN,F,P,,4.52,200,2e0861a2-1858-47af-8154-20a977c2b298,32171,pauper relevant
99,Mutagenic Growth,MM2,NM,EN,N,P,,1.39,200,2e0861a2-1858-47af-8154-20a977c2b298,32172,pauper relevant
99,Counterspell,SCD,NM,EN,N,P,,1.20,200,52042404-12db-4914-bfa0-8249a5942088,99141,pauper relevant
99,Goblin Bushwhacker,SPG,NM,EN,F,P,,3.35,200,052df800-9f13-4469-9e8c-16d327025aa0,131401,pauper relevant
99,Goblin Bushwhacker,SPG,NM,EN,N,P,,1.50,200,052df800-9f13-4469-9e8c-16d327025aa0,131394,pauper relevant
99,Mesmeric Fiend,TOR,NM,EN,F,P,,15.76,200,b6edd4ea-c587-4d93-a675-4cdec3e0b1ca,45067,pauper relevant
99,Mesmeric Fiend,TOR,NM,EN,N,P,,1.16,200,b6edd4ea-c587-4d93-a675-4cdec3e0b1ca,45068,pauper relevant
99,Faithless Looting,STA,NM,EN,F,P,,2.17,200,b429172f-2182-49dd-b6f6-e5e09493628d,77062,pauper relevant
99,Faithless Looting,STA,NM,EN,F,P,,2.50,200,b429172f-2182-49dd-b6f6-e5e09493628d,75549,pauper relevant
99,Faithless Looting,STA,NM,EN,N,P,,1.22,200,b429172f-2182-49dd-b6f6-e5e09493628d,75523,pauper relevant
99,Tamiyo's Safekeeping,NEO,NM,EN,F,P,,3.09,200,fd4b7ee2-de65-4288-872d-486065a4f226,85103,pauper relevant
99,Tamiyo's Safekeeping,NEO,NM,EN,N,P,,2.87,200,fd4b7ee2-de65-4288-872d-486065a4f226,84946,pauper relevant
